alpha,T,N,t_escape,t_centroid,mu_escape,phi_1mu,Dv_retrieval,Dv_prebarrier,Dv_postbarrier,Dv_centroid
0.20,0.80,50,8160,-1,7614,0.5645,2.9878e-05,NaN,5.5433e-04,NaN
0.20,0.80,50,2160,-1,12919,0.5762,5.9025e-05,NaN,1.2675e-04,NaN
0.20,0.80,50,1696,-1,14560,0.5986,1.2123e-04,NaN,1.4451e-04,NaN
0.20,0.80,50,8204,8416,7816,0.5586,2.9712e-05,NaN,2.9966e-02,1.2665e-03
0.20,0.80,50,8420,-1,5210,0.4775,2.3396e-05,NaN,5.0233e-04,NaN
0.20,0.80,50,4404,4608,809,0.6138,4.5978e-05,NaN,7.7766e-03,2.7024e-03
0.20,0.80,50,2288,5504,4155,0.5923,7.3226e-05,NaN,4.4098e-04,1.1494e-03
0.20,0.80,50,9520,-1,1595,0.6021,2.7204e-05,NaN,2.2261e-03,NaN
0.20,0.80,50,1340,1544,13477,0.5439,1.1275e-04,NaN,1.8443e-02,2.3082e-04
0.20,0.80,50,2672,-1,5098,0.6133,6.4892e-05,NaN,1.5189e-04,NaN
0.20,0.80,50,4160,-1,3069,0.4814,3.6442e-05,NaN,7.8251e-05,NaN
0.20,0.80,50,2668,-1,7981,0.4619,5.1374e-05,NaN,1.0965e-04,NaN
0.20,0.80,50,9524,9728,2885,0.5874,2.4971e-05,NaN,5.2484e-03,1.9890e-04
0.20,0.80,50,4384,-1,5994,0.4463,3.1697e-05,NaN,1.3525e-04,NaN
0.20,0.80,50,5644,-1,7981,0.5464,3.5096e-05,NaN,9.1399e-04,NaN
0.20,0.80,50,564,-1,7176,0.5649,2.6201e-04,NaN,1.8855e-04,NaN
0.20,0.80,50,2400,-1,9208,0.5752,8.0409e-05,NaN,9.9102e-04,NaN
0.20,0.80,50,8888,-1,18848,0.4463,2.1938e-05,NaN,1.2831e-03,NaN
0.20,0.80,50,8924,9128,13929,0.6362,3.5998e-05,NaN,2.6226e-02,7.7442e-03
0.20,0.80,50,1200,1404,17601,0.5933,1.3910e-04,NaN,1.9569e-02,5.2517e-04
0.20,0.80,50,4092,-1,9856,0.5078,4.0038e-05,NaN,1.5004e-04,NaN
