# N=500  K=10000  betanet=1.0  generated=2026-05-30T22:57:02.395
alpha,T,disorder,phi_a,phi_b,q12,phi_max_other
0.400,0.04503,81,0.978032,0.976596,0.955315,0.736499
0.400,0.04503,82,0.979122,0.978266,0.957634,0.737261
0.400,0.04503,83,0.977387,0.979193,0.956202,0.737062
0.400,0.04503,84,0.977452,0.977476,0.955304,0.736487
0.400,0.04503,85,0.978266,0.977946,0.958463,0.736987
0.400,0.04503,86,0.977122,0.976675,0.953526,0.736681
0.400,0.04503,87,0.978733,0.977561,0.957545,0.737500
0.400,0.04503,88,0.977638,0.978899,0.958880,0.735515
0.400,0.04503,89,0.976354,0.978649,0.955451,0.736607
0.400,0.04503,90,0.978693,0.979065,0.957039,0.736517
0.400,0.04503,91,0.978296,0.978181,0.956970,0.738060
0.400,0.04503,92,0.977182,0.976547,0.952521,0.737929
0.400,0.04503,93,0.980475,0.977533,0.958495,0.736478
0.400,0.04503,94,0.976881,0.978732,0.954964,0.736111
0.400,0.04503,95,0.976894,0.977559,0.955475,0.737344
0.400,0.04503,96,0.978139,0.978155,0.957952,0.738583
0.400,0.04503,97,0.977757,0.978570,0.957303,0.735943
0.400,0.04503,98,0.979155,0.977556,0.958693,0.737022
0.400,0.04503,99,0.977561,0.978048,0.956332,0.735830
0.400,0.04503,100,0.976712,0.979870,0.957258,0.737169
0.400,0.04503,101,0.977692,0.976969,0.954829,0.737060
0.400,0.04503,102,0.978248,0.976902,0.954812,0.735858
0.400,0.04503,103,0.978223,0.977317,0.955793,0.736008
0.400,0.04503,104,0.979664,0.978306,0.956806,0.737799
0.400,0.04503,105,0.977869,0.978145,0.955845,0.736522
0.400,0.04503,106,0.977468,0.978847,0.956035,0.736258
0.400,0.04503,107,0.978152,0.977890,0.957531,0.736897
0.400,0.04503,108,0.976781,0.976954,0.953223,0.735267
0.400,0.04503,109,0.976100,0.978894,0.955238,0.737407
0.400,0.04503,110,0.977890,0.978525,0.956610,0.737463
0.400,0.04503,111,0.977304,0.978698,0.956818,0.737318
0.400,0.04503,112,0.977089,0.978167,0.956447,0.736013
0.400,0.04503,113,0.976425,0.977035,0.956323,0.735857
0.400,0.04503,114,0.976952,0.979466,0.955438,0.735717
0.400,0.04503,115,0.977201,0.976600,0.955084,0.737094
0.400,0.04503,116,0.978909,0.976972,0.955401,0.736383
0.400,0.04503,117,0.980626,0.976668,0.956245,0.738505
0.400,0.04503,118,0.976603,0.979493,0.956435,0.737109
0.400,0.04503,119,0.976592,0.978231,0.954995,0.739690
0.400,0.04503,120,0.978269,0.978056,0.958181,0.736456
0.400,0.04503,121,0.978239,0.978539,0.954133,0.738374
0.400,0.04503,122,0.978228,0.979274,0.957176,0.736143
0.400,0.04503,123,0.979093,0.977823,0.957522,0.736492
0.400,0.04503,124,0.977597,0.977517,0.954040,0.737401
0.400,0.04503,125,0.977217,0.976375,0.954812,0.736519
0.400,0.04503,126,0.976074,0.978300,0.954028,0.738242
0.400,0.04503,127,0.979414,0.977279,0.958666,0.738120
0.400,0.04503,128,0.977306,0.979496,0.956436,0.736315
0.400,0.06504,1,0.969573,0.969117,0.942000,0.734913
0.400,0.06504,2,0.967073,0.968184,0.934871,0.734449
0.400,0.06504,3,0.969901,0.965620,0.934376,0.734048
0.400,0.06504,4,0.967329,0.969211,0.936288,0.735546
0.400,0.06504,5,0.968589,0.969900,0.941508,0.733927
0.400,0.06504,6,0.969094,0.967572,0.940979,0.735519
0.400,0.06504,7,0.966587,0.967299,0.934067,0.733561
0.400,0.06504,8,0.968093,0.968879,0.938229,0.734914
0.400,0.06504,9,0.967278,0.969443,0.936765,0.734083
0.400,0.06504,10,0.967906,0.968571,0.937508,0.734003
0.400,0.06504,11,0.966803,0.966145,0.935431,0.735391
0.400,0.06504,12,0.965346,0.969378,0.934210,0.733984
0.400,0.06504,13,0.968065,0.967507,0.935196,0.734701
0.400,0.06504,14,0.967727,0.968118,0.939296,0.736057
0.400,0.06504,15,0.966712,0.969679,0.937380,0.732868
0.400,0.06504,16,0.967221,0.968219,0.938636,0.732983
0.400,0.06504,17,0.969177,0.968459,0.938259,0.735029
0.400,0.06504,18,0.967379,0.969182,0.938756,0.733587
0.400,0.06504,19,0.966216,0.966131,0.932163,0.734028
0.400,0.06504,20,0.968053,0.966659,0.933275,0.733995
0.400,0.06504,21,0.965943,0.967578,0.936099,0.733622
0.400,0.06504,22,0.966120,0.968710,0.939826,0.732636
0.400,0.06504,23,0.967801,0.967916,0.936525,0.735579
0.400,0.06504,24,0.967438,0.965739,0.932553,0.733412
0.400,0.06504,25,0.969672,0.967007,0.937680,0.735529
0.400,0.06504,26,0.970469,0.969884,0.943315,0.733834
0.400,0.06504,27,0.968008,0.967645,0.937623,0.734676
0.400,0.06504,28,0.968796,0.968164,0.936137,0.733462
0.400,0.06504,29,0.970370,0.970096,0.941931,0.736426
0.400,0.06504,30,0.968489,0.969798,0.936339,0.735579
0.400,0.06504,31,0.966645,0.968483,0.937420,0.733574
0.400,0.06504,32,0.969562,0.969643,0.939610,0.734588
0.400,0.06504,33,0.967978,0.969555,0.937691,0.734508
0.400,0.06504,34,0.969694,0.966203,0.933932,0.734651
0.400,0.06504,35,0.968502,0.970993,0.938913,0.735596
0.400,0.06504,36,0.966042,0.967922,0.931751,0.734104
0.400,0.06504,37,0.971458,0.966981,0.940069,0.735609
0.400,0.06504,38,0.967744,0.968376,0.936070,0.735908
0.400,0.06504,39,0.967486,0.969178,0.936879,0.734020
0.400,0.06504,40,0.968869,0.968698,0.936512,0.734310
0.400,0.06504,41,0.967947,0.968042,0.936862,0.735117
0.400,0.06504,42,0.969183,0.969170,0.939112,0.733515
0.400,0.06504,43,0.968157,0.967663,0.935178,0.733841
0.400,0.06504,44,0.967296,0.969779,0.939167,0.734757
0.400,0.06504,45,0.967016,0.967908,0.934567,0.733679
0.400,0.06504,46,0.971956,0.968199,0.940322,0.735138
0.400,0.06504,47,0.969012,0.967959,0.936909,0.735149
0.400,0.06504,48,0.970291,0.968540,0.940419,0.735258
0.400,0.06504,49,0.968552,0.970118,0.937517,0.732999
0.400,0.06504,50,0.965056,0.968325,0.933446,0.734612
0.400,0.06504,51,0.968739,0.969144,0.937767,0.734443
0.400,0.06504,52,0.968988,0.967069,0.936890,0.734223
0.400,0.06504,53,0.968459,0.967592,0.937489,0.735404
0.400,0.06504,54,0.967837,0.968685,0.936077,0.734332
0.400,0.06504,55,0.968460,0.969538,0.939850,0.733451
0.400,0.06504,56,0.968527,0.970043,0.940945,0.734287
