# N=50  K_max=10000  betanet=1.0000  generated=2026-06-05T13:37:54.565
alpha,T,disorder,phi,mode,logC
0.350,0.47500,7,-0.040408,smart,-17.0564
0.350,0.50000,7,0.025066,smart,-17.0564
0.350,0.02500,8,0.988838,smart,-17.0594
0.350,0.05000,8,0.978206,smart,-17.0594
0.350,0.07500,8,0.964414,smart,-17.0594
0.350,0.10000,8,0.953828,smart,-17.0594
0.350,0.12500,8,0.939631,smart,-17.0594
0.350,0.15000,8,0.928515,smart,-17.0594
0.350,0.17500,8,0.921793,smart,-17.0594
0.350,0.20000,8,0.910419,smart,-17.0594
0.350,0.22500,8,0.897478,smart,-17.0594
0.350,0.25000,8,0.887885,smart,-17.0594
0.350,0.27500,8,0.874211,smart,-17.0594
0.350,0.30000,8,0.860009,smart,-17.0594
0.350,0.32500,8,0.441642,smart,-17.0594
0.350,0.35000,8,0.395883,smart,-17.0594
0.350,0.37500,8,0.411652,smart,-17.0594
0.350,0.40000,8,0.434807,smart,-17.0594
0.350,0.42500,8,0.039698,smart,-17.0594
0.350,0.45000,8,-0.000307,smart,-17.0594
0.350,0.47500,8,0.301355,smart,-17.0594
0.350,0.50000,8,-0.013979,smart,-17.0594
0.350,0.02500,9,0.988772,smart,-17.0571
0.350,0.05000,9,0.975096,smart,-17.0571
0.350,0.07500,9,0.963994,smart,-17.0571
0.350,0.10000,9,0.952876,smart,-17.0571
0.350,0.12500,9,0.942968,smart,-17.0571
0.350,0.15000,9,0.931247,smart,-17.0571
0.350,0.17500,9,0.918931,smart,-17.0571
0.350,0.20000,9,0.905805,smart,-17.0571
0.350,0.22500,9,0.894534,smart,-17.0571
0.350,0.25000,9,0.885262,smart,-17.0571
0.350,0.27500,9,0.876532,smart,-17.0571
0.350,0.30000,9,0.867290,smart,-17.0571
0.350,0.32500,9,0.438215,smart,-17.0571
0.350,0.35000,9,0.533026,smart,-17.0571
0.350,0.37500,9,0.174879,smart,-17.0571
0.350,0.40000,9,0.439297,smart,-17.0571
0.350,0.42500,9,0.272584,smart,-17.0571
0.350,0.45000,9,0.025961,smart,-17.0571
0.350,0.47500,9,0.216048,smart,-17.0571
0.350,0.50000,9,0.031390,smart,-17.0571
0.350,0.02500,10,0.988535,smart,-17.0614
0.350,0.05000,10,0.977069,smart,-17.0614
0.350,0.07500,10,0.962943,smart,-17.0614
0.350,0.10000,10,0.951641,smart,-17.0614
0.350,0.12500,10,0.940980,smart,-17.0614
0.350,0.15000,10,0.924585,smart,-17.0614
0.350,0.17500,10,0.922133,smart,-17.0614
0.350,0.20000,10,0.910236,smart,-17.0614
0.350,0.22500,10,0.895725,smart,-17.0614
0.350,0.25000,10,0.895205,smart,-17.0614
0.350,0.27500,10,0.867472,smart,-17.0614
0.350,0.30000,10,0.861483,smart,-17.0614
0.350,0.32500,10,0.854336,smart,-17.0614
0.350,0.35000,10,0.398462,smart,-17.0614
0.350,0.37500,10,0.422648,smart,-17.0614
0.350,0.40000,10,0.405758,smart,-17.0614
0.350,0.42500,10,0.488192,smart,-17.0614
0.350,0.45000,10,0.008117,smart,-17.0614
0.350,0.47500,10,0.257976,smart,-17.0614
0.350,0.50000,10,-0.014846,smart,-17.0614
0.350,0.02500,11,0.987096,smart,-17.0593
0.350,0.05000,11,0.977456,smart,-17.0593
0.350,0.07500,11,0.964307,smart,-17.0593
0.350,0.10000,11,0.952656,smart,-17.0593
0.350,0.12500,11,0.940608,smart,-17.0593
0.350,0.15000,11,0.925177,smart,-17.0593
0.350,0.17500,11,0.925317,smart,-17.0593
0.350,0.20000,11,0.905374,smart,-17.0593
0.350,0.22500,11,0.896941,smart,-17.0593
0.350,0.25000,11,0.876235,smart,-17.0593
0.350,0.27500,11,0.874430,smart,-17.0593
0.350,0.30000,11,0.863591,smart,-17.0593
0.350,0.32500,11,0.849747,smart,-17.0593
0.350,0.35000,11,0.485663,smart,-17.0593
0.350,0.37500,11,0.431802,smart,-17.0593
0.350,0.40000,11,0.394580,smart,-17.0593
0.350,0.42500,11,0.403359,smart,-17.0593
0.350,0.45000,11,-0.032029,smart,-17.0593
0.350,0.47500,11,0.015207,smart,-17.0593
0.350,0.50000,11,0.096333,smart,-17.0593
0.350,0.02500,12,0.987029,smart,-17.0543
0.350,0.05000,12,0.975460,smart,-17.0543
0.350,0.07500,12,0.960724,smart,-17.0543
0.350,0.10000,12,0.951797,smart,-17.0543
0.350,0.12500,12,0.941178,smart,-17.0543
0.350,0.15000,12,0.935470,smart,-17.0543
0.350,0.17500,12,0.920054,smart,-17.0543
