# generator=basin_stab_LSE_semismart_AAAI_Nramp.jl  M_TARGET=4.4e+07  K_TARGET=30000  N_FLOOR=12  betanet=1.0
# N_EQ=32768  N_SAMP=8192  N_DIS_TARGET=64  MEM_BUDGET_GB=40.0  generated=2026-06-07T13:48:36.518
alpha,T,N_used,K_retained,disorder,phi_a,phi_b,q12,phi_max_retained
0.200,0.04500,88,29978,16,0.979410,0.977306,0.957893,0.536743
0.200,0.04500,88,30020,17,0.977647,0.977141,0.955175,0.549600
0.200,0.04500,88,30152,18,0.976895,0.978547,0.952571,0.537169
0.200,0.04500,88,29956,19,0.978023,0.978771,0.956721,0.547324
0.200,0.04500,88,29924,20,0.977982,0.978213,0.955168,0.540363
0.200,0.04500,88,29845,21,0.977525,0.979196,0.956414,0.547406
0.200,0.04500,88,29808,22,0.976929,0.977907,0.956794,0.545799
0.200,0.04500,88,30288,23,0.978779,0.975368,0.955730,0.553409
0.200,0.04500,88,30137,24,0.978087,0.977764,0.955613,0.540521
0.200,0.04500,88,29955,25,0.979609,0.977846,0.959582,0.564519
0.200,0.04500,88,30050,26,0.978278,0.976329,0.958274,0.536979
0.200,0.04500,88,29736,27,0.978552,0.977328,0.956909,0.539700
0.200,0.04500,88,30088,28,0.980318,0.976588,0.956320,0.567142
0.200,0.04500,88,30120,29,0.977329,0.979207,0.957464,0.578606
0.200,0.04500,88,30024,30,0.979761,0.977656,0.957610,0.549733
0.200,0.04500,88,29807,31,0.976889,0.978104,0.952762,0.557159
0.200,0.04500,88,29865,32,0.978584,0.978875,0.958143,0.569411
0.200,0.04500,88,30137,33,0.976764,0.977283,0.955650,0.562115
0.200,0.04500,88,29884,34,0.976954,0.977661,0.954951,0.542704
0.200,0.04500,88,30073,35,0.977164,0.978828,0.960088,0.550526
0.200,0.04500,88,29706,36,0.977114,0.980517,0.958961,0.547417
0.200,0.04500,88,30559,37,0.978517,0.977507,0.956924,0.548597
0.200,0.04500,88,29623,38,0.978002,0.977093,0.955953,0.536768
0.200,0.04500,88,30191,39,0.976286,0.976569,0.953793,0.545956
0.200,0.04500,88,29877,40,0.977954,0.978284,0.956001,0.540932
0.200,0.04500,88,30281,41,0.978045,0.979281,0.959246,0.533779
0.200,0.04500,88,30216,42,0.976669,0.978392,0.954970,0.543211
0.200,0.04500,88,29889,43,0.978119,0.977203,0.956422,0.539999
0.200,0.04500,88,29966,44,0.979330,0.977626,0.957717,0.539804
0.200,0.04500,88,29917,45,0.977240,0.977150,0.955975,0.552623
0.200,0.04500,88,29962,46,0.977775,0.976147,0.951141,0.537338
0.200,0.04500,88,30001,47,0.977526,0.978649,0.955316,0.566680
0.200,0.04500,88,30312,48,0.978843,0.976560,0.955015,0.546006
0.200,0.04500,88,29891,49,0.978868,0.977332,0.956349,0.541385
0.200,0.04500,88,30061,50,0.977707,0.978779,0.956499,0.542032
0.200,0.04500,88,30249,51,0.978102,0.978438,0.956926,0.529616
0.200,0.04500,88,29895,52,0.979536,0.978380,0.959024,0.538200
0.200,0.04500,88,29819,53,0.979217,0.978765,0.959856,0.564497
