# generator=basin_stab_LSE_semismart_AAAI_Nramp.jl  M_TARGET=4.4e+06  K_TARGET=30000  N_FLOOR=12  betanet=1.0
# N_EQ=32768  N_SAMP=8192  N_DIS_TARGET=64  MEM_BUDGET_GB=40.0  generated=2026-06-07T21:59:16.649
alpha,T,N_used,K_retained,disorder,phi_a,phi_b,q12,phi_max_retained
0.200,0.04500,76,29939,15,0.979446,0.978980,0.959229,0.523209
0.200,0.04500,76,30085,16,0.977921,0.978390,0.957015,0.535139
0.200,0.04500,76,29748,17,0.978155,0.978131,0.956440,0.540539
0.200,0.04500,76,30028,18,0.978609,0.977115,0.958876,0.542444
0.200,0.04500,76,30124,19,0.977757,0.977659,0.958337,0.540096
0.200,0.04500,76,30376,20,0.977394,0.977224,0.954576,0.535674
0.200,0.04500,76,29896,21,0.978009,0.976582,0.953739,0.529205
0.200,0.04500,76,30242,22,0.977908,0.978940,0.957994,0.553294
0.200,0.04500,76,30163,23,0.979634,0.978279,0.959152,0.548057
0.200,0.04500,76,30113,24,0.979021,0.975683,0.955317,0.554193
0.200,0.04500,76,30096,25,0.978761,0.978218,0.957852,0.539037
0.200,0.04500,76,29949,26,0.978067,0.978311,0.955025,0.526669
0.200,0.04500,76,30300,27,0.977472,0.976512,0.953500,0.537793
0.200,0.04500,76,29935,28,0.977467,0.977506,0.954731,0.534615
0.200,0.04500,76,29790,29,0.977626,0.975843,0.951089,0.528256
0.200,0.04500,76,30303,30,0.978414,0.978656,0.957674,0.549050
0.200,0.04500,76,30009,31,0.977895,0.978107,0.959508,0.561228
0.200,0.04500,76,29919,32,0.979171,0.978442,0.959644,0.545865
0.200,0.04500,76,30029,33,0.977453,0.976771,0.954006,0.547876
0.200,0.04500,76,29958,34,0.976933,0.977168,0.954227,0.543330
0.200,0.04500,76,30055,35,0.979143,0.977818,0.956867,0.539172
0.200,0.04500,76,30257,36,0.977497,0.977167,0.953278,0.546956
0.200,0.04500,76,30180,37,0.978675,0.979420,0.958160,0.530729
0.200,0.04500,76,30044,38,0.976086,0.977061,0.951697,0.565972
0.200,0.04500,76,30141,39,0.980154,0.975680,0.955462,0.529087
0.200,0.04500,76,29922,40,0.978782,0.977398,0.956005,0.542227
0.200,0.04500,76,30277,41,0.979105,0.980433,0.958350,0.538142
0.200,0.04500,76,30253,42,0.979448,0.977661,0.958768,0.565355
0.200,0.04500,76,30137,43,0.977187,0.976701,0.952654,0.530160
0.200,0.04500,76,30107,44,0.979570,0.975581,0.955108,0.539076
0.200,0.04500,76,29828,45,0.977576,0.978239,0.955493,0.564502
0.200,0.04500,76,30162,46,0.978046,0.978304,0.956200,0.529617
0.200,0.04500,76,29769,47,0.977033,0.977698,0.955990,0.535275
0.200,0.04500,76,29734,48,0.978259,0.977949,0.955068,0.560883
0.200,0.04500,76,30091,49,0.976995,0.976983,0.953985,0.535374
0.200,0.04500,76,30084,50,0.978895,0.977007,0.953858,0.525158
0.200,0.04500,76,30050,51,0.978074,0.977954,0.957722,0.569758
0.200,0.04500,76,30113,52,0.978994,0.976089,0.955023,0.520181
0.200,0.04500,76,29800,53,0.977165,0.978351,0.958543,0.542475
0.200,0.04500,76,30126,54,0.978287,0.977254,0.954664,0.529593
0.200,0.04500,76,29754,55,0.977181,0.979855,0.959504,0.541237
0.200,0.04500,76,30112,56,0.976662,0.977215,0.953023,0.524183
0.200,0.04500,76,29978,57,0.979119,0.975331,0.956810,0.544554
0.200,0.04500,76,30187,58,0.978431,0.979317,0.958393,0.538062
0.200,0.04500,76,29846,59,0.978077,0.979873,0.959390,0.544379
0.200,0.04500,76,30240,60,0.978040,0.978118,0.956800,0.541575
0.200,0.04500,76,30253,61,0.978399,0.977790,0.956545,0.538846
0.200,0.04500,76,29877,62,0.978320,0.978329,0.957194,0.539993
0.200,0.04500,76,30188,63,0.979719,0.978800,0.955010,0.533238
0.200,0.04500,76,30097,64,0.978921,0.977463,0.956488,0.541749
0.200,0.05500,76,29677,1,0.974394,0.973696,0.948456,0.550747
0.200,0.05500,76,30086,2,0.972060,0.973133,0.945249,0.552589
0.200,0.05500,76,30078,3,0.973002,0.973983,0.948042,0.547094
0.200,0.05500,76,30299,4,0.972636,0.971094,0.947433,0.536834
0.200,0.05500,76,29933,5,0.972106,0.971840,0.945913,0.549203
0.200,0.05500,76,30052,6,0.974795,0.974554,0.946746,0.528434
0.200,0.05500,76,29909,7,0.972204,0.975109,0.952347,0.537946
0.200,0.05500,76,29831,8,0.973907,0.972540,0.947984,0.547803
0.200,0.05500,76,30326,9,0.975362,0.972913,0.947488,0.571255
0.200,0.05500,76,29838,10,0.974975,0.975459,0.953957,0.529000
0.200,0.05500,76,30099,11,0.974112,0.973172,0.947357,0.529317
0.200,0.05500,76,30201,12,0.974905,0.974117,0.949692,0.567329
0.200,0.05500,76,29992,13,0.972748,0.974300,0.947084,0.543651
0.200,0.05500,76,30067,14,0.974068,0.972383,0.946139,0.537762
0.200,0.05500,76,29939,15,0.972687,0.972913,0.947119,0.533412
0.200,0.05500,76,30085,16,0.972373,0.971669,0.943481,0.543502
0.200,0.05500,76,29748,17,0.973073,0.972002,0.944521,0.548328
0.200,0.05500,76,30028,18,0.972222,0.973463,0.946654,0.536761
0.200,0.05500,76,30124,19,0.975437,0.972228,0.948155,0.555605
0.200,0.05500,76,30376,20,0.973795,0.971954,0.946899,0.532427
0.200,0.05500,76,29896,21,0.974623,0.973806,0.951588,0.525531
0.200,0.05500,76,30242,22,0.971720,0.973568,0.944966,0.551855
0.200,0.05500,76,30163,23,0.973365,0.971277,0.942193,0.553859
0.200,0.05500,76,30113,24,0.971571,0.971805,0.947013,0.549149
0.200,0.05500,76,30096,25,0.971542,0.973109,0.948180,0.544254
0.200,0.05500,76,29949,26,0.973244,0.973191,0.945510,0.526610
