# generator=escape_time_Ndim.jl  N=100  N_DIS=32  MAX_STEPS=1000000  φ_escape=0.5  generated=2026-06-11T16:14:47.416
alpha,T,disorder,K,tau,escaped
0.580,0.01750,8,1,1000000,0
0.500,0.08250,29,1,1000000,0
0.550,0.05250,18,1,1000000,0
0.500,0.07500,24,1,1000000,0
0.500,0.10000,2,1,1000000,0
0.500,0.08500,13,1,1000000,0
0.580,0.02000,8,1,1000000,0
0.500,0.08500,29,1,1000000,0
0.550,0.05500,18,1,1000000,0
0.500,0.07750,24,1,1000000,0
0.550,0.02500,2,1,1000000,0
0.500,0.08750,13,1,1000000,0
0.580,0.02250,8,1,1000000,0
0.500,0.08750,29,1,1000000,0
0.550,0.05750,18,1,1000000,0
0.500,0.08000,24,1,1000000,0
0.550,0.02750,2,1,1000000,0
0.500,0.09000,13,1,1000000,0
0.580,0.02500,8,1,1000000,0
0.500,0.09000,29,1,1000000,0
0.550,0.06000,18,1,1000000,0
0.500,0.08250,24,1,1000000,0
0.550,0.03000,2,1,1000000,0
0.500,0.09250,13,1,1000000,0
0.580,0.02750,8,1,1000000,0
0.500,0.09250,29,1,1000000,0
0.620,0.00250,18,1,1000000,0
0.500,0.08500,24,1,1000000,0
0.550,0.03250,2,1,1000000,0
0.500,0.09500,13,1,1000000,0
0.580,0.03000,8,1,1000000,0
0.500,0.09500,29,1,1000000,0
0.620,0.00500,18,1,1000000,0
0.500,0.08750,24,1,1000000,0
0.550,0.03500,2,1,1000000,0
0.500,0.09750,13,1,1000000,0
0.580,0.03250,8,1,1000000,0
0.500,0.09750,29,1,1000000,0
0.620,0.00750,18,1,1000000,0
0.620,0.01000,18,1,8279,1
0.620,0.01250,18,1,2900,1
0.620,0.01500,18,1,2473,1
0.620,0.01750,18,1,2060,1
0.620,0.02000,18,1,2244,1
0.500,0.09000,24,1,1000000,0
0.550,0.03750,2,1,1000000,0
0.500,0.10000,13,1,1000000,0
0.580,0.03500,8,1,1000000,0
0.500,0.10000,29,1,1000000,0
0.600,0.00500,18,1,1000000,0
0.500,0.09250,24,1,1000000,0
0.550,0.04000,2,1,1000000,0
0.550,0.02500,13,1,1000000,0
0.580,0.03750,8,1,1000000,0
0.580,0.04000,8,1,14305,1
0.550,0.02500,29,1,1000000,0
0.600,0.00750,18,1,1000000,0
0.500,0.09500,24,1,1000000,0
0.550,0.04250,2,1,1000000,0
0.550,0.02750,13,1,1000000,0
0.500,0.06000,8,1,1000000,0
0.550,0.02750,29,1,1000000,0
0.600,0.01000,18,1,1000000,0
0.500,0.09750,24,1,1000000,0
0.550,0.04500,2,1,1000000,0
0.550,0.03000,13,1,1000000,0
0.500,0.06250,8,1,1000000,0
0.550,0.03000,29,1,1000000,0
0.600,0.01250,18,1,1000000,0
0.500,0.10000,24,1,1000000,0
0.550,0.04750,2,1,1000000,0
0.550,0.03250,13,1,1000000,0
0.500,0.06500,8,1,1000000,0
0.550,0.03250,29,1,1000000,0
0.600,0.01500,18,1,1000000,0
0.550,0.02500,24,1,1000000,0
0.550,0.05000,2,1,1000000,0
0.550,0.03500,13,1,1000000,0
0.500,0.06750,8,1,1000000,0
0.550,0.03500,29,1,1000000,0
0.600,0.01750,18,1,1000000,0
0.550,0.02750,24,1,1000000,0
0.600,0.02000,18,1,180623,1
0.600,0.02250,18,1,6889,1
0.600,0.02500,18,1,3899,1
0.600,0.02750,18,1,1810,1
0.600,0.03000,18,1,1687,1
0.600,0.03250,18,1,1332,1
0.600,0.03500,18,1,991,1
0.550,0.05250,2,1,1000000,0
0.550,0.03750,13,1,1000000,0
0.500,0.07000,8,1,1000000,0
0.550,0.03750,29,1,1000000,0
0.550,0.03000,24,1,1000000,0
0.580,0.01000,19,1,1000000,0
0.550,0.05500,2,1,1000000,0
0.550,0.04000,13,1,1000000,0
0.500,0.07250,8,1,1000000,0
0.550,0.04000,29,1,1000000,0
0.550,0.03250,24,1,1000000,0
0.580,0.01250,19,1,1000000,0
0.550,0.05750,2,1,1000000,0
0.550,0.04250,13,1,1000000,0
0.500,0.07500,8,1,1000000,0
0.550,0.04250,29,1,1000000,0
0.550,0.03500,24,1,1000000,0
0.580,0.01500,19,1,1000000,0
0.550,0.06000,2,1,1000000,0
0.550,0.04500,13,1,1000000,0
0.500,0.07750,8,1,1000000,0
0.550,0.04500,29,1,1000000,0
0.550,0.03750,24,1,1000000,0
0.580,0.01750,19,1,1000000,0
0.620,0.00250,2,1,1000000,0
0.550,0.04750,13,1,1000000,0
0.500,0.08000,8,1,1000000,0
0.550,0.04750,29,1,1000000,0
