# generator=hybrid_1d_LSE.jl  N=150  N_DIS=32  N_EQ=4000  N_SAMP=16000  σ_floor=0.01  generated=2026-06-10T23:43:22.978
alpha,T,disorder,K,phi_mean,phi_var,acc_rate
0.500,0.00750,14,1152014,0.996100,0.000000,0.0401
0.520,0.04750,16,1579418,0.974413,0.000009,0.1039
0.540,0.03750,20,2040253,0.979942,0.000006,0.0884
0.500,0.01250,14,1152014,0.993568,0.000001,0.0520
0.560,0.00750,24,2483195,0.996029,0.000000,0.0410
0.600,0.09250,32,3076462,0.951513,0.000032,0.1410
0.520,0.05250,16,1579418,0.971806,0.000011,0.1090
0.500,0.01750,14,1152014,0.990973,0.000001,0.0589
0.580,0.03250,28,2847535,0.983010,0.000004,0.0852
0.540,0.04250,20,2040253,0.977268,0.000007,0.0997
0.500,0.02250,14,1152014,0.988398,0.000002,0.0673
0.560,0.01250,24,2483195,0.993350,0.000001,0.0514
0.520,0.05750,16,1579418,0.969166,0.000012,0.1154
0.500,0.02750,14,1152014,0.985824,0.000003,0.0729
0.540,0.04750,20,2040253,0.974439,0.000009,0.1040
0.600,0.09750,32,3076462,0.948613,0.000034,0.1434
0.520,0.06250,16,1579418,0.966623,0.000014,0.1196
0.500,0.03250,14,1152014,0.983119,0.000004,0.0813
0.580,0.03750,28,2847535,0.980421,0.000005,0.0906
0.560,0.01750,24,2483195,0.990693,0.000001,0.0595
0.500,0.03750,14,1152014,0.980726,0.000005,0.0890
0.520,0.06750,16,1579418,0.963616,0.000018,0.1242
0.540,0.05250,20,2040253,0.972015,0.000010,0.1086
0.610,0.00250,1,3127066,0.998712,0.000000,0.0181
0.500,0.04250,14,1152014,0.978080,0.000007,0.0969
0.560,0.02250,24,2483195,0.988089,0.000002,0.0746
0.580,0.04250,28,2847535,0.977760,0.000007,0.0956
0.520,0.07250,16,1579418,0.960990,0.000020,0.1284
0.500,0.04750,14,1152014,0.975644,0.000008,0.0977
0.540,0.05750,20,2040253,0.969318,0.000012,0.1156
0.610,0.00750,1,3127066,0.996138,0.000000,0.0405
0.500,0.05250,14,1152014,0.972985,0.000009,0.1046
0.560,0.02750,24,2483195,0.985389,0.000003,0.0762
0.520,0.07750,16,1579418,0.958416,0.000023,0.1323
0.500,0.05750,14,1152014,0.970472,0.000012,0.1069
0.580,0.04750,28,2847535,0.975155,0.000008,0.0984
0.540,0.06250,20,2040253,0.966525,0.000015,0.1182
0.520,0.08250,16,1579418,0.955816,0.000026,0.1388
0.610,0.01250,1,3127066,0.993526,0.000001,0.0524
0.500,0.06250,14,1152014,0.967734,0.000014,0.1116
0.560,0.03250,24,2483195,0.982702,0.000004,0.0871
0.500,0.06750,14,1152014,0.965339,0.000016,0.1163
0.540,0.06750,20,2040253,0.963734,0.000017,0.1231
0.520,0.08750,16,1579418,0.953041,0.000029,0.1383
0.580,0.05250,28,2847535,0.972564,0.000009,0.1032
0.500,0.07250,14,1152014,0.962764,0.000018,0.1221
0.610,0.01750,1,3127066,0.990912,0.000001,0.0590
0.560,0.03750,24,2483195,0.980069,0.000006,0.0937
0.520,0.09250,16,1579418,0.950164,0.000033,0.1470
0.540,0.07250,20,2040253,0.961330,0.000020,0.1293
0.500,0.07750,14,1152014,0.960273,0.000020,0.1239
0.500,0.08250,14,1152014,0.957409,0.000024,0.1307
0.580,0.05750,28,2847535,0.969923,0.000012,0.1119
0.560,0.04250,24,2483195,0.977533,0.000007,0.0979
0.520,0.09750,16,1579418,0.947287,0.000036,0.1439
0.610,0.02250,1,3127066,0.988363,0.000002,0.0670
0.540,0.07750,20,2040253,0.958584,0.000022,0.1354
0.500,0.08750,14,1152014,0.955069,0.000030,0.1354
0.520,0.00250,17,1579418,0.998655,0.000000,0.0198
0.500,0.09250,14,1152014,0.952449,0.000032,0.1386
0.520,0.00750,17,1579418,0.996007,0.000000,0.0428
0.560,0.04750,24,2483195,0.974915,0.000009,0.1019
0.540,0.08250,20,2040253,0.955943,0.000027,0.1382
0.580,0.06250,28,2847535,0.967296,0.000014,0.1183
0.610,0.02750,1,3127066,0.985744,0.000003,0.0771
0.500,0.09750,14,1152014,0.949952,0.000034,0.1452
0.520,0.01250,17,1579418,0.993331,0.000001,0.0491
0.500,0.00250,15,1152014,0.998706,0.000000,0.0173
0.560,0.05250,24,2483195,0.972066,0.000010,0.1077
0.540,0.08750,20,2040253,0.953233,0.000030,0.1329
0.520,0.01750,17,1579418,0.990700,0.000001,0.0649
0.500,0.00750,15,1152014,0.996097,0.000000,0.0374
0.580,0.06750,28,2847535,0.964707,0.000016,0.1196
0.610,0.03250,1,3127066,0.983160,0.000004,0.0848
0.500,0.01250,15,1152014,0.993532,0.000001,0.0541
0.520,0.02250,17,1579418,0.987971,0.000002,0.0706
0.500,0.01750,15,1152014,0.991086,0.000001,0.0579
0.540,0.09250,20,2040253,0.950213,0.000031,0.1484
0.560,0.05750,24,2483195,0.969462,0.000012,0.1105
0.520,0.02750,17,1579418,0.985438,0.000003,0.0787
0.500,0.02250,15,1152014,0.988287,0.000002,0.0693
0.580,0.07250,28,2847535,0.962020,0.000019,0.1230
0.610,0.03750,1,3127066,0.980613,0.000005,0.0880
0.500,0.02750,15,1152014,0.985865,0.000003,0.0734
0.520,0.03250,17,1579418,0.982699,0.000004,0.0867
0.540,0.09750,20,2040253,0.947730,0.000037,0.1491
0.560,0.06250,24,2483195,0.966923,0.000015,0.1153
0.500,0.03250,15,1152014,0.983206,0.000004,0.0844
0.520,0.03750,17,1579418,0.980102,0.000006,0.0894
0.540,0.00250,21,2040253,0.998676,0.000000,0.0190
0.500,0.03750,15,1152014,0.980624,0.000005,0.0864
0.580,0.07750,28,2847535,0.959248,0.000023,0.1284
0.610,0.04250,1,3127066,0.978020,0.000007,0.0999
0.520,0.04250,17,1579418,0.977409,0.000007,0.0944
0.540,0.00750,21,2040253,0.996018,0.000000,0.0401
0.500,0.04250,15,1152014,0.978049,0.000006,0.0959
0.560,0.06750,24,2483195,0.964013,0.000019,0.1206
0.500,0.04750,15,1152014,0.975582,0.000008,0.1013
0.520,0.04750,17,1579418,0.974815,0.000009,0.0994
0.540,0.01250,21,2040253,0.993317,0.000001,0.0521
0.500,0.05250,15,1152014,0.972866,0.000010,0.1055
0.580,0.08250,28,2847535,0.956442,0.000025,0.1308
0.610,0.04750,1,3127066,0.975190,0.000008,0.1009
0.560,0.07250,24,2483195,0.961313,0.000020,0.1302
0.520,0.05250,17,1579418,0.972213,0.000011,0.1086
0.540,0.01750,21,2040253,0.990611,0.000001,0.0620
0.500,0.05750,15,1152014,0.970360,0.000012,0.1092
0.520,0.05750,17,1579418,0.969457,0.000011,0.1087
0.500,0.06250,15,1152014,0.967765,0.000013,0.1149
0.540,0.02250,21,2040253,0.988036,0.000002,0.0722
0.560,0.07750,24,2483195,0.958842,0.000022,0.1351
0.580,0.08750,28,2847535,0.953996,0.000031,0.1362
0.610,0.05250,1,3127066,0.972778,0.000010,0.1075
0.500,0.06750,15,1152014,0.965333,0.000017,0.1193
0.520,0.06250,17,1579418,0.966737,0.000015,0.1153
0.540,0.02750,21,2040253,0.985297,0.000003,0.0749
0.500,0.07250,15,1152014,0.962713,0.000018,0.1194
0.520,0.06750,17,1579418,0.964013,0.000016,0.1216
0.560,0.08250,24,2483195,0.956157,0.000028,0.1357
0.500,0.07750,15,1152014,0.960100,0.000021,0.1251
0.580,0.09250,28,2847535,0.951318,0.000033,0.1417
0.610,0.05750,1,3127066,0.970178,0.000011,0.1094
0.540,0.03250,21,2040253,0.982645,0.000004,0.0842
0.500,0.08250,15,1152014,0.957597,0.000024,0.1313
0.520,0.07250,17,1579418,0.961297,0.000020,0.1253
0.560,0.08750,24,2483195,0.953749,0.000031,0.1418
0.500,0.08750,15,1152014,0.954889,0.000027,0.1335
0.540,0.03750,21,2040253,0.979853,0.000006,0.0926
0.520,0.07750,17,1579418,0.958537,0.000022,0.1300
0.580,0.09750,28,2847535,0.948823,0.000036,0.1472
0.500,0.09250,15,1152014,0.952552,0.000031,0.1391
0.610,0.06250,1,3127066,0.967471,0.000014,0.1197
0.540,0.04250,21,2040253,0.977430,0.000006,0.0961
0.520,0.08250,17,1579418,0.956192,0.000026,0.1354
0.500,0.09750,15,1152014,0.949808,0.000036,0.1384
0.560,0.09250,24,2483195,0.950886,0.000033,0.1396
0.580,0.00250,29,2847535,0.998694,0.000000,0.0181
0.500,0.00250,16,1152014,0.998675,0.000000,0.0181
0.520,0.08750,17,1579418,0.953535,0.000028,0.1386
0.540,0.04750,21,2040253,0.974752,0.000008,0.1021
0.500,0.00750,16,1152014,0.996101,0.000000,0.0398
0.610,0.06750,1,3127066,0.964911,0.000016,0.1224
0.500,0.01250,16,1152014,0.993511,0.000001,0.0512
0.580,0.00750,29,2847535,0.996034,0.000000,0.0407
0.560,0.09750,24,2483195,0.948028,0.000036,0.1450
0.520,0.09250,17,1579418,0.950840,0.000034,0.1476
0.500,0.01750,16,1152014,0.990971,0.000001,0.0614
0.540,0.05250,21,2040253,0.971871,0.000011,0.1126
0.560,0.00250,25,2483195,0.998674,0.000000,0.0191
0.500,0.02250,16,1152014,0.988339,0.000002,0.0654
0.520,0.09750,17,1579418,0.947631,0.000041,0.1499
0.580,0.01250,29,2847535,0.993440,0.000001,0.0513
0.610,0.07250,1,3127066,0.962164,0.000021,0.1280
0.500,0.02750,16,1152014,0.985795,0.000002,0.0753
0.540,0.05750,21,2040253,0.969287,0.000013,0.1148
0.520,0.00250,18,1579418,0.998630,0.000000,0.0193
0.560,0.00750,25,2483195,0.996053,0.000000,0.0401
0.500,0.03250,16,1152014,0.983188,0.000004,0.0799
0.520,0.00750,18,1579418,0.995963,0.000000,0.0403
0.580,0.01750,29,2847535,0.990837,0.000001,0.0635
0.500,0.03750,16,1152014,0.980443,0.000005,0.0891
0.540,0.06250,21,2040253,0.966461,0.000015,0.1202
0.520,0.01250,18,1579418,0.993167,0.000001,0.0563
0.560,0.01250,25,2483195,0.993480,0.000001,0.0515
0.610,0.07750,1,3127066,0.959548,0.000022,0.1277
0.500,0.04250,16,1152014,0.978050,0.000007,0.0965
0.520,0.01750,18,1579418,0.990523,0.000001,0.0625
0.540,0.06750,21,2040253,0.963939,0.000019,0.1244
0.580,0.02250,29,2847535,0.988200,0.000002,0.0693
0.500,0.04750,16,1152014,0.975686,0.000008,0.0994
0.560,0.01750,25,2483195,0.990836,0.000001,0.0624
0.520,0.02250,18,1579418,0.987885,0.000002,0.0737
0.500,0.05250,16,1152014,0.972992,0.000009,0.1041
0.610,0.08250,1,3127066,0.956866,0.000025,0.1377
0.540,0.07250,21,2040253,0.961340,0.000021,0.1251
0.500,0.05750,16,1152014,0.970360,0.000012,0.1100
0.580,0.02750,29,2847535,0.985544,0.000003,0.0765
0.520,0.02750,18,1579418,0.985106,0.000003,0.0805
0.560,0.02250,25,2483195,0.988222,0.000002,0.0669
0.500,0.06250,16,1152014,0.967864,0.000014,0.1148
0.520,0.03250,18,1579418,0.982397,0.000004,0.0876
0.540,0.07750,21,2040253,0.958577,0.000023,0.1308
0.500,0.06750,16,1152014,0.965298,0.000016,0.1167
0.560,0.02750,25,2483195,0.985529,0.000003,0.0753
0.580,0.03250,29,2847535,0.982917,0.000004,0.0827
0.610,0.08750,1,3127066,0.954478,0.000028,0.1431
0.520,0.03750,18,1579418,0.979759,0.000005,0.0915
0.500,0.07250,16,1152014,0.962726,0.000019,0.1226
0.540,0.08250,21,2040253,0.955789,0.000024,0.1356
0.520,0.04250,18,1579418,0.977060,0.000007,0.1004
0.500,0.07750,16,1152014,0.960011,0.000021,0.1272
0.560,0.03250,25,2483195,0.982803,0.000004,0.0820
0.580,0.03750,29,2847535,0.980387,0.000005,0.0916
0.500,0.08250,16,1152014,0.957288,0.000025,0.1282
0.610,0.09250,1,3127066,0.951420,0.000033,0.1422
0.520,0.04750,18,1579418,0.974433,0.000008,0.1041
0.540,0.08750,21,2040253,0.953169,0.000028,0.1419
0.500,0.08750,16,1152014,0.954871,0.000027,0.1389
0.560,0.03750,25,2483195,0.980289,0.000005,0.0906
0.520,0.05250,18,1579418,0.971608,0.000010,0.1116
0.580,0.04250,29,2847535,0.977657,0.000007,0.0971
0.500,0.09250,16,1152014,0.952553,0.000029,0.1409
0.540,0.09250,21,2040253,0.950574,0.000033,0.1445
0.520,0.05750,18,1579418,0.968870,0.000013,0.1153
0.560,0.04250,25,2483195,0.977643,0.000007,0.0979
0.610,0.09750,1,3127066,0.949184,0.000035,0.1436
0.500,0.09750,16,1152014,0.949800,0.000032,0.1414
0.500,0.00250,17,1152014,0.998703,0.000000,0.0186
0.540,0.09750,21,2040253,0.947787,0.000035,0.1441
0.580,0.04750,29,2847535,0.975015,0.000008,0.1021
0.520,0.06250,18,1579418,0.966266,0.000017,0.1197
0.500,0.00750,17,1152014,0.996083,0.000000,0.0439
0.610,0.00250,2,3127066,0.998693,0.000000,0.0185
0.560,0.04750,25,2483195,0.974912,0.000008,0.1003
0.540,0.00250,22,2040253,0.998666,0.000000,0.0189
0.500,0.01250,17,1152014,0.993565,0.000001,0.0529
0.520,0.06750,18,1579418,0.963343,0.000018,0.1237
0.500,0.01750,17,1152014,0.990867,0.000001,0.0617
0.540,0.00750,22,2040253,0.995975,0.000000,0.0391
0.580,0.05250,29,2847535,0.972479,0.000010,0.1049
0.610,0.00750,2,3127066,0.996169,0.000000,0.0389
0.500,0.02250,17,1152014,0.988410,0.000002,0.0673
0.520,0.07250,18,1579418,0.960795,0.000020,0.1258
0.560,0.05250,25,2483195,0.972358,0.000010,0.1072
0.500,0.02750,17,1152014,0.985839,0.000003,0.0741
0.540,0.01250,22,2040253,0.993281,0.000001,0.0532
0.520,0.07750,18,1579418,0.957918,0.000023,0.1278
0.500,0.03250,17,1152014,0.983137,0.000004,0.0824
0.610,0.01250,2,3127066,0.993517,0.000001,0.0508
0.580,0.05750,29,2847535,0.969541,0.000013,0.1092
0.560,0.05750,25,2483195,0.969695,0.000012,0.1125
0.540,0.01750,22,2040253,0.990631,0.000001,0.0606
0.500,0.03750,17,1152014,0.980702,0.000005,0.0891
0.520,0.08250,18,1579418,0.955328,0.000027,0.1366
0.500,0.04250,17,1152014,0.978158,0.000007,0.0949
0.540,0.02250,22,2040253,0.987905,0.000002,0.0741
0.610,0.01750,2,3127066,0.990956,0.000001,0.0567
0.520,0.08750,18,1579418,0.952657,0.000030,0.1431
0.560,0.06250,25,2483195,0.967010,0.000015,0.1195
0.580,0.06250,29,2847535,0.967195,0.000014,0.1128
0.500,0.04750,17,1152014,0.975502,0.000008,0.0969
0.540,0.02750,22,2040253,0.985163,0.000003,0.0766
0.500,0.05250,17,1152014,0.973038,0.000009,0.1046
0.520,0.09250,18,1579418,0.949859,0.000035,0.1484
0.500,0.05750,17,1152014,0.970426,0.000011,0.1121
0.610,0.02250,2,3127066,0.988239,0.000002,0.0653
0.560,0.06750,25,2483195,0.964429,0.000016,0.1192
0.540,0.03250,22,2040253,0.982585,0.000004,0.0896
0.580,0.06750,29,2847535,0.964306,0.000018,0.1220
0.520,0.09750,18,1579418,0.947130,0.000038,0.1510
0.500,0.06250,17,1152014,0.967692,0.000015,0.1197
0.520,0.00250,19,1579418,0.998690,0.000000,0.0190
0.500,0.06750,17,1152014,0.965089,0.000016,0.1202
0.540,0.03750,22,2040253,0.979923,0.000005,0.0956
0.560,0.07250,25,2483195,0.961850,0.000019,0.1247
0.610,0.02750,2,3127066,0.985723,0.000003,0.0773
0.520,0.00750,19,1579418,0.996058,0.000000,0.0432
0.500,0.07250,17,1152014,0.962484,0.000019,0.1239
0.580,0.07250,29,2847535,0.961813,0.000020,0.1260
0.540,0.04250,22,2040253,0.977301,0.000007,0.0962
0.520,0.01250,19,1579418,0.993466,0.000001,0.0535
0.500,0.07750,17,1152014,0.960054,0.000021,0.1280
0.560,0.07750,25,2483195,0.959055,0.000024,0.1335
0.610,0.03250,2,3127066,0.983071,0.000004,0.0826
0.520,0.01750,19,1579418,0.990721,0.000001,0.0591
0.500,0.08250,17,1152014,0.957252,0.000024,0.1285
0.540,0.04750,22,2040253,0.974477,0.000008,0.1047
0.580,0.07750,29,2847535,0.959053,0.000021,0.1293
0.520,0.02250,19,1579418,0.988055,0.000002,0.0703
0.500,0.08750,17,1152014,0.955040,0.000026,0.1343
0.560,0.08250,25,2483195,0.956323,0.000027,0.1333
0.500,0.09250,17,1152014,0.952206,0.000031,0.1388
0.540,0.05250,22,2040253,0.971757,0.000011,0.1114
0.520,0.02750,19,1579418,0.985490,0.000003,0.0761
0.610,0.03750,2,3127066,0.980585,0.000005,0.0896
0.580,0.08250,29,2847535,0.956353,0.000027,0.1312
0.500,0.09750,17,1152014,0.949734,0.000035,0.1399
0.520,0.03250,19,1579418,0.982916,0.000004,0.0837
0.500,0.00250,18,1152014,0.998695,0.000000,0.0158
0.540,0.05750,22,2040253,0.969329,0.000013,0.1120
0.560,0.08750,25,2483195,0.953682,0.000031,0.1389
0.500,0.00750,18,1152014,0.996118,0.000000,0.0394
0.520,0.03750,19,1579418,0.980234,0.000005,0.0898
0.610,0.04250,2,3127066,0.978101,0.000007,0.0969
0.500,0.01250,18,1152014,0.993496,0.000001,0.0492
0.540,0.06250,22,2040253,0.966429,0.000014,0.1197
0.580,0.08750,29,2847535,0.953621,0.000029,0.1424
0.520,0.04250,19,1579418,0.977626,0.000007,0.1007
0.500,0.01750,18,1152014,0.990988,0.000001,0.0586
0.560,0.09250,25,2483195,0.951100,0.000032,0.1426
0.500,0.02250,18,1152014,0.988353,0.000002,0.0673
0.520,0.04750,19,1579418,0.974943,0.000008,0.1033
0.610,0.04750,2,3127066,0.975295,0.000008,0.1002
0.540,0.06750,22,2040253,0.964166,0.000017,0.1224
0.500,0.02750,18,1152014,0.985666,0.000003,0.0770
0.580,0.09250,29,2847535,0.950970,0.000033,0.1431
0.560,0.09750,25,2483195,0.948252,0.000038,0.1436
0.520,0.05250,19,1579418,0.972386,0.000010,0.1076
0.500,0.03250,18,1152014,0.983221,0.000004,0.0846
0.540,0.07250,22,2040253,0.961151,0.000022,0.1247
0.500,0.03750,18,1152014,0.980733,0.000005,0.0891
0.560,0.00250,26,2483195,0.998674,0.000000,0.0192
0.610,0.05250,2,3127066,0.972721,0.000010,0.1047
0.520,0.05750,19,1579418,0.969861,0.000013,0.1084
0.500,0.04250,18,1152014,0.978124,0.000006,0.0960
0.580,0.09750,29,2847535,0.948495,0.000037,0.1488
0.540,0.07750,22,2040253,0.958181,0.000024,0.1313
0.520,0.06250,19,1579418,0.967071,0.000015,0.1158
0.560,0.00750,26,2483195,0.996065,0.000000,0.0418
0.500,0.04750,18,1152014,0.975499,0.000008,0.0994
0.500,0.05250,18,1152014,0.972810,0.000010,0.1038
0.580,0.00250,30,2847535,0.998704,0.000000,0.0179
0.610,0.05750,2,3127066,0.970004,0.000012,0.1130
0.520,0.06750,19,1579418,0.964496,0.000016,0.1234
0.540,0.08250,22,2040253,0.955885,0.000025,0.1338
0.560,0.01250,26,2483195,0.993376,0.000001,0.0540
0.500,0.05750,18,1152014,0.970313,0.000012,0.1109
0.520,0.07250,19,1579418,0.961878,0.000020,0.1263
0.580,0.00750,30,2847535,0.996093,0.000000,0.0404
0.500,0.06250,18,1152014,0.967773,0.000013,0.1110
0.540,0.08750,22,2040253,0.953220,0.000029,0.1388
0.560,0.01750,26,2483195,0.990812,0.000001,0.0618
0.610,0.06250,2,3127066,0.967310,0.000014,0.1191
0.500,0.06750,18,1152014,0.965287,0.000017,0.1171
0.520,0.07750,19,1579418,0.959212,0.000022,0.1323
0.580,0.01250,30,2847535,0.993398,0.000001,0.0513
0.500,0.07250,18,1152014,0.962730,0.000019,0.1183
0.540,0.09250,22,2040253,0.950184,0.000035,0.1436
0.560,0.02250,26,2483195,0.988225,0.000002,0.0701
0.520,0.08250,19,1579418,0.956634,0.000024,0.1316
0.500,0.07750,18,1152014,0.960097,0.000022,0.1265
0.610,0.06750,2,3127066,0.964721,0.000017,0.1237
0.580,0.01750,30,2847535,0.990757,0.000001,0.0611
0.520,0.08750,19,1579418,0.953623,0.000029,0.1401
0.540,0.09750,22,2040253,0.947353,0.000040,0.1548
0.500,0.08250,18,1152014,0.957495,0.000025,0.1350
0.560,0.02750,26,2483195,0.985518,0.000003,0.0769
0.500,0.08750,18,1152014,0.954795,0.000025,0.1324
0.540,0.00250,23,2040253,0.998715,0.000000,0.0183
0.520,0.09250,19,1579418,0.951354,0.000035,0.1415
0.580,0.02250,30,2847535,0.988131,0.000002,0.0721
0.560,0.03250,26,2483195,0.982864,0.000004,0.0856
0.500,0.09250,18,1152014,0.952267,0.000031,0.1348
0.610,0.07250,2,3127066,0.961887,0.000020,0.1268
0.540,0.00750,23,2040253,0.996157,0.000000,0.0394
0.520,0.09750,19,1579418,0.948573,0.000036,0.1487
0.500,0.09750,18,1152014,0.949987,0.000033,0.1430
0.520,0.00250,20,1579418,0.998700,0.000000,0.0170
0.540,0.01250,23,2040253,0.993663,0.000000,0.0529
0.500,0.00250,19,1152014,0.998697,0.000000,0.0191
0.560,0.03750,26,2483195,0.980217,0.000005,0.0898
0.580,0.02750,30,2847535,0.985582,0.000003,0.0781
0.500,0.00750,19,1152014,0.996118,0.000000,0.0402
0.520,0.00750,20,1579418,0.996120,0.000000,0.0374
0.610,0.07750,2,3127066,0.959259,0.000024,0.1353
0.540,0.01750,23,2040253,0.990989,0.000001,0.0612
0.500,0.01250,19,1152014,0.993538,0.000001,0.0541
0.520,0.01250,20,1579418,0.993537,0.000001,0.0550
0.560,0.04250,26,2483195,0.977626,0.000006,0.0973
0.500,0.01750,19,1152014,0.990931,0.000001,0.0572
0.580,0.03250,30,2847535,0.982923,0.000004,0.0830
0.540,0.02250,23,2040253,0.988541,0.000002,0.0707
0.520,0.01750,20,1579418,0.990903,0.000001,0.0624
0.500,0.02250,19,1152014,0.988404,0.000002,0.0692
0.610,0.08250,2,3127066,0.957034,0.000026,0.1354
0.500,0.02750,19,1152014,0.985768,0.000002,0.0748
0.520,0.02250,20,1579418,0.988386,0.000002,0.0662
0.560,0.04750,26,2483195,0.974903,0.000008,0.1021
0.540,0.02750,23,2040253,0.985947,0.000003,0.0752
0.580,0.03750,30,2847535,0.980145,0.000005,0.0911
0.500,0.03250,19,1152014,0.983230,0.000004,0.0814
0.520,0.02750,20,1579418,0.985739,0.000003,0.0762
0.500,0.03750,19,1152014,0.980638,0.000005,0.0880
0.540,0.03250,23,2040253,0.983483,0.000004,0.0838
0.560,0.05250,26,2483195,0.972145,0.000010,0.1054
0.520,0.03250,20,1579418,0.983211,0.000004,0.0832
0.500,0.04250,19,1152014,0.977994,0.000007,0.0964
0.610,0.08750,2,3127066,0.953929,0.000030,0.1391
0.580,0.04250,30,2847535,0.977752,0.000007,0.0992
0.540,0.03750,23,2040253,0.980873,0.000005,0.0881
0.500,0.04750,19,1152014,0.975477,0.000008,0.0977
0.520,0.03750,20,1579418,0.980595,0.000005,0.0902
0.560,0.05750,26,2483195,0.969592,0.000011,0.1097
0.500,0.05250,19,1152014,0.972926,0.000010,0.1051
0.520,0.04250,20,1579418,0.977954,0.000007,0.0948
0.540,0.04250,23,2040253,0.978210,0.000007,0.0949
0.580,0.04750,30,2847535,0.975014,0.000008,0.0961
0.610,0.09250,2,3127066,0.951265,0.000032,0.1467
0.500,0.05750,19,1152014,0.970391,0.000012,0.1076
0.520,0.04750,20,1579418,0.975450,0.000008,0.0972
0.560,0.06250,26,2483195,0.966958,0.000016,0.1198
0.500,0.06250,19,1152014,0.967843,0.000015,0.1121
0.540,0.04750,23,2040253,0.975755,0.000008,0.0983
0.500,0.06750,19,1152014,0.965027,0.000015,0.1155
0.520,0.05250,20,1579418,0.972887,0.000010,0.1062
0.580,0.05250,30,2847535,0.972385,0.000010,0.1075
0.610,0.09750,2,3127066,0.948907,0.000036,0.1475
0.540,0.05250,23,2040253,0.973102,0.000010,0.1040
0.500,0.07250,19,1152014,0.962436,0.000018,0.1219
0.560,0.06750,26,2483195,0.964420,0.000017,0.1249
0.520,0.05750,20,1579418,0.970328,0.000012,0.1055
0.500,0.07750,19,1152014,0.960282,0.000020,0.1239
0.580,0.05750,30,2847535,0.969629,0.000011,0.1134
0.610,0.00250,3,3127066,0.998707,0.000000,0.0187
0.540,0.05750,23,2040253,0.970400,0.000012,0.1055
0.520,0.06250,20,1579418,0.968027,0.000015,0.1132
0.500,0.08250,19,1152014,0.957540,0.000023,0.1368
0.560,0.07250,26,2483195,0.961800,0.000019,0.1259
0.520,0.06750,20,1579418,0.965144,0.000015,0.1213
0.500,0.08750,19,1152014,0.954869,0.000026,0.1349
0.540,0.06250,23,2040253,0.967999,0.000012,0.1146
0.610,0.00750,3,3127066,0.996122,0.000000,0.0384
0.580,0.06250,30,2847535,0.966780,0.000015,0.1177
0.500,0.09250,19,1152014,0.952430,0.000030,0.1399
0.520,0.07250,20,1579418,0.962283,0.000019,0.1253
0.560,0.07750,26,2483195,0.959201,0.000022,0.1340
0.540,0.06750,23,2040253,0.965601,0.000016,0.1211
0.500,0.09750,19,1152014,0.949615,0.000037,0.1465
0.610,0.01250,3,3127066,0.993522,0.000001,0.0524
0.520,0.07750,20,1579418,0.960088,0.000023,0.1321
0.500,0.00250,20,1152014,0.998691,0.000000,0.0179
0.580,0.06750,30,2847535,0.964378,0.000018,0.1224
0.500,0.00750,20,1152014,0.996095,0.000000,0.0444
0.560,0.08250,26,2483195,0.956382,0.000024,0.1328
0.540,0.07250,23,2040253,0.962651,0.000019,0.1205
0.520,0.08250,20,1579418,0.957261,0.000025,0.1318
0.500,0.01250,20,1152014,0.993575,0.000001,0.0521
0.610,0.01750,3,3127066,0.990956,0.000001,0.0604
0.500,0.01750,20,1152014,0.990942,0.000001,0.0570
0.520,0.08750,20,1579418,0.954791,0.000028,0.1376
0.540,0.07750,23,2040253,0.960263,0.000023,0.1335
0.580,0.07250,30,2847535,0.961863,0.000019,0.1265
0.560,0.08750,26,2483195,0.953920,0.000029,0.1366
0.500,0.02250,20,1152014,0.988368,0.000002,0.0660
0.500,0.02750,20,1152014,0.985868,0.000003,0.0781
0.520,0.09250,20,1579418,0.951766,0.000033,0.1376
0.610,0.02250,3,3127066,0.988427,0.000002,0.0691
0.540,0.08250,23,2040253,0.957688,0.000025,0.1315
0.500,0.03250,20,1152014,0.983256,0.000004,0.0840
0.560,0.09250,26,2483195,0.951110,0.000033,0.1475
0.580,0.07750,30,2847535,0.958953,0.000023,0.1340
0.520,0.09750,20,1579418,0.949587,0.000036,0.1464
0.500,0.03750,20,1152014,0.980679,0.000005,0.0852
0.540,0.08750,23,2040253,0.955117,0.000029,0.1346
0.520,0.00250,21,1579418,0.998655,0.000000,0.0186
0.610,0.02750,3,3127066,0.985730,0.000003,0.0771
0.500,0.04250,20,1152014,0.978014,0.000007,0.0955
0.520,0.00750,21,1579418,0.995921,0.000000,0.0425
0.560,0.09750,26,2483195,0.948385,0.000037,0.1562
0.500,0.04750,20,1152014,0.975691,0.000008,0.1039
0.580,0.08250,30,2847535,0.956325,0.000025,0.1365
0.540,0.09250,23,2040253,0.952293,0.000032,0.1411
0.520,0.01250,21,1579418,0.993232,0.000001,0.0510
0.500,0.05250,20,1152014,0.972946,0.000010,0.1107
0.560,0.00250,27,2483195,0.998689,0.000000,0.0192
0.610,0.03250,3,3127066,0.983278,0.000004,0.0801
0.500,0.05750,20,1152014,0.970302,0.000011,0.1110
0.520,0.01750,21,1579418,0.990512,0.000001,0.0619
0.540,0.09750,23,2040253,0.949848,0.000037,0.1424
0.500,0.06250,20,1152014,0.967927,0.000014,0.1176
0.560,0.00750,27,2483195,0.996050,0.000000,0.0436
0.580,0.08750,30,2847535,0.953855,0.000029,0.1388
0.520,0.02250,21,1579418,0.987827,0.000002,0.0726
